sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
FM-PT,pressure,7845.245621436,1780042534.1460884,0.7927877655968386,,73.19694139920965,psi,,hardware
FM-FM,flow,7845.246131856,1780042534.146598,0.7773948642486173,,-0.21192314766921364,gallons_per_minute,,hardware
OM-FM,flow,7845.249828659,1780042534.1502953,0.780248138934152,,-0.1851736974923253,gallons_per_minute,,hardware
OM-PT,pressure,7845.251252622,1780042534.1517186,0.7781411144901651,,69.53527862254127,psi,,hardware
FM-PT,pressure,7845.25634776,1780042534.156814,0.7949651235300449,,73.74128088251122,psi,,hardware
FM-FM,flow,7845.257001288,1780042534.1574671,0.7773084375033901,,-0.2127333984057185,gallons_per_minute,,hardware
OM-FM,flow,7845.2589238,1780042534.1593897,0.7787914012421848,,-0.1988306133545177,gallons_per_minute,,hardware
OM-PT,pressure,7845.260333874,1780042534.1607997,0.7546235030440691,,63.65587576101728,psi,,hardware
FM-PT,pressure,7845.264268786,1780042534.1647346,0.7931585065315373,,73.28962663288432,psi,,hardware
FM-FM,flow,7845.265649435,1780042534.1661153,0.777345988434075,,-0.21238135843054742,gallons_per_minute,,hardware
OM-FM,flow,7845.267058231,1780042534.167524,0.780220124747768,,-0.18543633048967514,gallons_per_minute,,hardware
OM-PT,pressure,7845.26846638,1780042534.1689324,0.7778234216956403,,69.45585542391008,psi,,hardware
FM-PT,pressure,7845.271765355,1780042534.1722312,0.794274901661265,,73.56872541531625,psi,,hardware
FM-FM,flow,7845.273784292,1780042534.1742501,0.7772142621534184,,-0.21361629231170312,gallons_per_minute,,hardware
OM-FM,flow,7845.275190107,1780042534.1756558,0.7799882626519516,,-0.18761003763795372,gallons_per_minute,,hardware
OM-PT,pressure,7845.276593755,1780042534.1770597,0.7786304686821066,,69.65761717052665,psi,,hardware
FM-PT,pressure,7845.279256776,1780042534.1797228,0.7885784850810152,,72.14462127025381,psi,,hardware
FM-FM,flow,7845.281915538,1780042534.1823814,0.7772375079676519,,-0.21339836280326388,gallons_per_minute,,hardware
OM-FM,flow,7845.28332389,1780042534.1837897,0.780248138934152,,-0.1851736974923253,gallons_per_minute,,hardware
OM-PT,pressure,7845.284729131,1780042534.185195,0.7766515942396635,,69.16289855991586,psi,,hardware
FM-PT,pressure,7845.28676016,1780042534.187226,0.7972020861151321,,74.30052152878302,psi,,hardware
FM-FM,flow,7845.290049988,1780042534.190516,0.7765413256336839,,-0.21992507218421345,gallons_per_minute,,hardware
OM-FM,flow,7845.291456247,1780042534.1919224,0.7804150319594183,,-0.18360907538045382,gallons_per_minute,,hardware
OM-PT,pressure,7845.292859562,1780042534.1933255,0.7766021223786024,,69.15053059465059,psi,,hardware
FM-PT,pressure,7845.294345061,1780042534.1948109,0.794520472827014,,73.6301182067535,psi,,hardware
FM-FM,flow,7845.29818416,1780042534.1986504,0.7772959205264951,,-0.21285074506410886,gallons_per_minute,,hardware
OM-FM,flow,7845.299597438,1780042534.2000632,0.7802612519575658,,-0.1850507628978211,gallons_per_minute,,hardware
OM-PT,pressure,7845.301000123,1780042534.2014663,0.7782042954211588,,69.55107385528969,psi,,hardware
FM-PT,pressure,7845.302371475,1780042534.2028372,0.7954622263267309,,73.86555658168272,psi,,hardware
FM-FM,flow,7845.306322628,1780042534.2067885,0.7771224709895219,,-0.21447683447323243,gallons_per_minute,,hardware
OM-FM,flow,7845.307730387,1780042534.2081964,0.7812804915047278,,-0.17549539214317747,gallons_per_minute,,hardware
OM-PT,pressure,7845.309137702,1780042534.2096035,0.7773555251783759,,69.33888129459397,psi,,hardware
FM-PT,pressure,7845.310512073,1780042534.210978,0.7940609209610129,,73.51523024025322,psi,,hardware
FM-FM,flow,7845.314455652,1780042534.2149215,0.7773847314577975,,-0.2120181425831487,gallons_per_minute,,hardware
OM-FM,flow,7845.315859281,1780042534.216325,0.7802475428876332,,-0.18517928542843912,gallons_per_minute,,hardware
OM-PT,pressure,7845.317364169,1780042534.2178302,0.7723260846526724,,68.08152116316809,psi,,hardware
FM-PT,pressure,7845.3187348,1780042534.2192008,0.7881964192624592,,72.0491048156148,psi,,hardware
FM-FM,flow,7845.322585898,1780042534.2230518,0.77767858239157,,-0.20926329007903213,gallons_per_minute,,hardware
OM-FM,flow,7845.323989176,1780042534.2244549,0.7802618480040846,,-0.18504517496170728,gallons_per_minute,,hardware
OM-PT,pressure,7845.325569174,1780042534.2260349,0.7690788232182054,,67.26970580455135,psi,,hardware
FM-PT,pressure,7845.326944359,1780042534.22741,0.7863117201699877,,71.57793004249693,psi,,hardware
FM-FM,flow,7845.330714551,1780042534.2311804,0.7771701547110266,,-0.2140297995841263,gallons_per_minute,,hardware
OM-FM,flow,7845.333408053,1780042534.2338738,0.7803029752138824,,-0.18465960736985323,gallons_per_minute,,hardware
OM-PT,pressure,7845.335039643,1780042534.2355053,0.794641470270332,,73.66036756758301,psi,,hardware
FM-PT,pressure,7845.334886978,1780042534.2353537,0.8157498616874054,,78.93746542185134,psi,,hardware
FM-FM,flow,7845.34013841,1780042534.2406046,0.777302477038202,,-0.21278927776685677,gallons_per_minute,,hardware
OM-FM,flow,7845.341761018,1780042534.2422273,0.7804209924246064,,-0.18355319601931555,gallons_per_minute,,hardware
OM-PT,pressure,7845.343166352,1780042534.2436323,0.770260783465002,,67.5651958662505,psi,,hardware
FM-PT,pressure,7845.344542649,1780042534.2450085,0.7868463738973587,,71.71159347433967,psi,,hardware
FM-FM,flow,7845.348279119,1780042534.248745,0.777392480062542,,-0.21194549941366894,gallons_per_minute,,hardware
OM-FM,flow,7845.350135706,1780042534.2506018,0.7800693249785096,,-0.1868500783264733,gallons_per_minute,,hardware
OM-PT,pressure,7845.351555872,1780042534.2520218,0.7733369795485711,,68.33424488714276,psi,,hardware
FM-PT,pressure,7845.352432491,1780042534.2528982,0.7958538288895879,,73.96345722239697,psi,,hardware
FM-FM,flow,7845.356413309,1780042534.2568793,0.7774210902954448,,-0.21167727848020526,gallons_per_minute,,hardware
OM-FM,flow,7845.358281266,1780042534.258747,0.7803095317255893,,-0.18459814007260114,gallons_per_minute,,hardware
OM-PT,pressure,7845.359679952,1780042534.260146,0.7775063249476344,,69.37658123690859,psi,,hardware
FM-PT,pressure,7845.361050823,1780042534.2615168,0.7952220195796512,,73.8055048949128,psi,,hardware
FM-FM,flow,7845.364543203,1780042534.2650094,0.7773787709926094,,-0.21207402194428696,gallons_per_minute,,hardware
OM-FM,flow,7845.366406235,1780042534.2668724,0.7802391982363699,,-0.1852575165340327,gallons_per_minute,,hardware
OM-PT,pressure,7845.367826216,1780042534.2682922,0.7798654770690772,,69.96636926726929,psi,,hardware
FM-PT,pressure,7845.369196254,1780042534.2696621,0.7953108305109536,,73.8277076277384,psi,,hardware
FM-FM,flow,7845.372673209,1780042534.2731392,0.7774252626210765,,-0.21163816292740847,gallons_per_minute,,hardware
OM-FM,flow,7845.374536036,1780042534.2750018,0.7802642321901598,,-0.18502282321725197,gallons_per_minute,,hardware
OM-PT,pressure,7845.376045517,1780042534.2765114,0.7773519488992631,,69.33798722481576,psi,,hardware
FM-PT,pressure,7845.377416147,1780042534.277882,0.7931596986245749,,73.28992465614373,psi,,hardware
FM-FM,flow,7845.380799325,1780042534.2812653,0.7772786351774497,,-0.21301279521140984,gallons_per_minute,,hardware
OM-FM,flow,7845.384080301,1780042534.284547,0.7801968789335345,,-0.18565425999811438,gallons_per_minute,,hardware
OM-PT,pressure,7845.385584818,1780042534.2860506,0.778122637048082,,69.5306592620205,psi,,hardware
FM-PT,pressure,7845.385470394,1780042534.2859364,0.788184498332083,,72.04612458302076,psi,,hardware
