sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,1167.542130867,1779490012.7896948,0.8131242767720552,,78.2810691930138,psi,,hardware
OT-PT,pressure,1167.547221442,1779490012.7947855,6.079674491843521e-05,,-124.98480081377039,psi,,hardware
LF-PT,pressure,1167.541470721,1779490012.7890348,-0.9218872692450606,,-177.73590865563258,psi,,hardware
OF-PT,pressure,1167.549493262,1779490012.7970567,3.877350554150409,,844.3376385376023,psi,,hardware
FT-PT,pressure,1167.54983364,1779490012.797397,-3.7897025096061836,,-536.2128137007729,psi,,hardware
N-LC,thrust,1167.5434032,1779490012.790967,0.07812024094107639,0.078125,0.28237082946747094,N,,hardware
FM-PT,pressure,1167.553354722,1779490012.800918,0.8043117289914761,,38.03896612393451,psi,,hardware
FI-PT,pressure,1167.556694746,1779490012.8042583,0.5267644556479998,,3.345556955999973,psi,,hardware
WM-PT,pressure,1167.56110962,1779490012.808673,0.3749978989360212,,-15.62526263299735,psi,,hardware
E-LC,thrust,1167.555053444,1779490012.8026168,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1167.564662515,1779490012.812226,0.21216633464888748,,-35.979208168889066,psi,,hardware
LF-PT,pressure,1167.570113429,1779490012.8176768,0.4996622204377914,,-0.04222244527607444,psi,,hardware
FT-PT,pressure,1167.573782516,1779490012.8213458,1.2619484975276587,,95.24356219095733,psi,,hardware
N-LC,thrust,1167.566625806,1779490012.814189,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1167.576351348,1779490012.8239148,0.8043987517832221,,38.04984397290276,psi,,hardware
FI-PT,pressure,1167.580330797,1779490012.8278942,0.5271608265830072,,3.395103322875903,psi,,hardware
E-LC,thrust,1167.577607461,1779490012.8251708,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1167.585667592,1779490012.8332314,0.3752965182419441,,-15.587935219756988,psi,,hardware
CC-PT,pressure,1167.591664643,1779490012.8392282,0.21267893465506252,,-35.91513316811719,psi,,hardware
LF-PT,pressure,1167.59624854,1779490012.8438118,0.4995883106694592,,-0.051461166317601226,psi,,hardware
N-LC,thrust,1167.589911592,1779490012.8374755,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1167.599975308,1779490012.8475387,1.2612099958908554,,95.15124948635692,psi,,hardware
FM-PT,pressure,1167.604259416,1779490012.8518229,0.8045680289945636,,38.07100362432045,psi,,hardware
FI-PT,pressure,1167.608912122,1779490012.8564768,0.5278200540328091,,3.477506754101134,psi,,hardware
E-LC,thrust,1167.601644422,1779490012.8492076,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1167.612741529,1779490012.8603048,0.49965864415867856,,-0.04266948016518057,psi,,hardware
WM-PT,pressure,1167.616821062,1779490012.8643847,0.3757769317361035,,-15.527883532987063,psi,,hardware
CC-PT,pressure,1167.620709205,1779490012.8682723,0.21300437605433178,,-35.87445299320853,psi,,hardware
N-LC,thrust,1167.614390904,1779490012.861954,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1167.623085239,1779490012.8706486,1.260468514021458,,95.05856425268225,psi,,hardware
FM-PT,pressure,1167.628688028,1779490012.8762515,0.8046782976005431,,38.084787200067886,psi,,hardware
FI-PT,pressure,1167.632327008,1779490012.8798902,0.5283052358991189,,3.5381544873898663,psi,,hardware
E-LC,thrust,1167.627099593,1779490012.8746629,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1167.637909428,1779490012.8854735,0.49978083369503423,,-0.027395788120720965,psi,,hardware
WM-PT,pressure,1167.642172205,1779490012.8897357,0.37612442685656866,,-15.484446642928917,psi,,hardware
CC-PT,pressure,1167.645874568,1779490012.8934379,0.2134943262927921,,-35.81320921340099,psi,,hardware
N-LC,thrust,1167.640586084,1779490012.8881495,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1167.649583189,1779490012.8971467,1.259569675871095,,94.94620948388688,psi,,hardware
FM-PT,pressure,1167.653731624,1779490012.9012952,0.8047522073688753,,38.09402592110941,psi,,hardware
FI-PT,pressure,1167.65750448,1779490012.9050684,0.5286288891588318,,3.5786111448539715,psi,,hardware
E-LC,thrust,1167.65215115,1779490012.8997145,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1167.661163069,1779490012.9087262,0.49981063602097464,,-0.02367049737816984,psi,,hardware
