sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,1191.634927002,1779490036.882491,2.8890428410819577,,597.2607102704894,psi,,hardware
LF-PT,pressure,1191.63395536,1779490036.8815198,-0.40507738650767644,,-113.13467331345956,psi,,hardware
OT-PT,pressure,1191.639647521,1779490036.8872116,-2.8131232038883214,,-828.2808009720803,psi,,hardware
FT-PT,pressure,1191.639893612,1779490036.8874567,-2.5397166657110053,,-379.96458321387564,psi,,hardware
OF-PT,pressure,1191.643653339,1779490036.8912168,3.83389459060366,,833.473647650915,psi,,hardware
N-LC,thrust,1191.635582744,1779490036.8831465,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.648290716,1779490036.895854,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.658346518,1779490036.9059098,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.666068493,1779490036.9136317,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.675508882,1779490036.9230723,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.684865278,1779490036.9324286,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.694703653,1779490036.942268,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.704726457,1779490036.95229,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.713195019,1779490036.9607584,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.723238469,1779490036.970802,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.731595207,1779490036.9791594,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.741092258,1779490036.9886558,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.749423276,1779490036.9969866,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.758907587,1779490037.0064712,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.767226422,1779490037.0147898,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.777271522,1779490037.024835,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.788898289,1779490037.036462,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.798924632,1779490037.0464883,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.807317405,1779490037.0548809,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.817359339,1779490037.0649226,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.825166846,1779490037.0727303,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.835223168,1779490037.0827866,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.843564112,1779490037.0911274,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.853607083,1779490037.1011705,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.861975506,1779490037.1095388,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.871917782,1779490037.119481,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.880349441,1779490037.1279132,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.889965169,1779490037.1375296,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.899988216,1779490037.1475518,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.907869106,1779490037.1554322,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.917845101,1779490037.1654086,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.926320849,1779490037.1738842,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.936360561,1779490037.183924,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.944794738,1779490037.192359,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.954437983,1779490037.2020013,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.963266479,1779490037.2108297,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.973554875,1779490037.221119,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1191.983570607,1779490037.2311342,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1191.994279746,1779490037.2418435,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.004310162,1779490037.2518737,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.012094597,1779490037.259658,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.022138864,1779490037.2697022,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.030515139,1779490037.2780788,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.04055861,1779490037.2881222,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.048276253,1779490037.2958398,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.058324353,1779490037.3058882,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.066773085,1779490037.3143365,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.076811279,1779490037.3243744,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.086572847,1779490037.3341372,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.096601301,1779490037.3441648,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.105030293,1779490037.3525934,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.115073949,1779490037.3626373,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.123482647,1779490037.3710458,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.132267425,1779490037.3798306,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.141265019,1779490037.3888283,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.153079974,1779490037.4006436,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.163094837,1779490037.4106581,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.170917694,1779490037.4184809,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.180896966,1779490037.4284604,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.191435193,1779490037.4389994,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.201455925,1779490037.4490194,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.209216288,1779490037.4567795,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.219255851,1779490037.4668193,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.22703899,1779490037.4746027,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.236461882,1779490037.4840252,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.244868284,1779490037.4924316,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.253559329,1779490037.5011225,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.262571829,1779490037.510135,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.271328591,1779490037.518892,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.280948949,1779490037.5285125,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.290788214,1779490037.538352,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.30081415,1779490037.5483775,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.308983941,1779490037.5565474,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.318686977,1779490037.5662506,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.326796144,1779490037.5743597,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1192.336500921,1779490037.584065,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1192.346373869,1779490037.5939372,0.078125,0.078125,0.0,N,,hardware
