sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
LF-PT,pressure,1185.033967818,1779490030.2815318,0.419121434583835,,-10.109820677020625,psi,,hardware
FT-PT,pressure,1185.041367051,1779490030.2889311,1.2552066153534192,,94.40082691917739,psi,,hardware
N-LC,thrust,1185.035737466,1779490030.2833016,-0.002903854820591786,0.03182116343929332,2060.3510834198496,N,,hardware
FM-PT,pressure,1185.045076834,1779490030.2926402,0.8020270826848843,,37.75338533561054,psi,,hardware
FI-PT,pressure,1185.049183473,1779490030.2967467,0.5258775384280132,,3.2346923035016517,psi,,hardware
WM-PT,pressure,1185.052774895,1779490030.3003383,0.3762895317422785,,-15.463808532215184,psi,,hardware
E-LC,thrust,1185.047606475,1779490030.2951698,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1185.056124523,1779490030.3036876,0.20428779176328085,,-36.964026029589895,psi,,hardware
LF-PT,pressure,1185.061542237,1779490030.3091054,0.4190487169085404,,-10.11891038643245,psi,,hardware
N-LC,thrust,1185.058102006,1779490030.3056653,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.065147399,1779490030.3127108,1.2542350595277618,,94.27938244097022,psi,,hardware
FM-PT,pressure,1185.067954127,1779490030.3155174,0.8020980122206225,,37.76225152757781,psi,,hardware
FI-PT,pressure,1185.07163032,1779490030.3191936,0.5263353021544579,,3.291912769307237,psi,,hardware
E-LC,thrust,1185.068162536,1779490030.3157258,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1185.076461824,1779490030.3240254,0.3766435833744506,,-15.419552078193677,psi,,hardware
CC-PT,pressure,1185.080576129,1779490030.3281395,0.2049333101431501,,-36.88333623210624,psi,,hardware
LF-PT,pressure,1185.087084548,1779490030.3346486,0.4190195106291188,,-10.12256117136015,psi,,hardware
N-LC,thrust,1185.079017666,1779490030.326581,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.091628687,1779490030.3391924,1.2534804646349507,,94.18505807936883,psi,,hardware
FM-PT,pressure,1185.095778248,1779490030.3433416,0.8021963598962258,,37.77454498702823,psi,,hardware
FI-PT,pressure,1185.099575801,1779490030.3471394,0.5266285570417115,,3.32856963021394,psi,,hardware
E-LC,thrust,1185.093195945,1779490030.3407593,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.103364392,1779490030.3509278,0.41918997993349794,,-10.101252508312758,psi,,hardware
WM-PT,pressure,1185.107575207,1779490030.3551385,0.3769594880294189,,-15.380063996322635,psi,,hardware
CC-PT,pressure,1185.111302415,1779490030.3588657,0.20561995573281713,,-36.79750553339786,psi,,hardware
N-LC,thrust,1185.104983461,1779490030.352547,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.115145538,1779490030.3627088,1.2525488439260535,,94.06860549075668,psi,,hardware
FM-PT,pressure,1185.119806297,1779490030.3673697,0.8022464278038057,,37.780803475475714,psi,,hardware
FI-PT,pressure,1185.123612275,1779490030.3711755,0.5270553263491782,,3.381915793647272,psi,,hardware
E-LC,thrust,1185.117145112,1779490030.3647084,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.127279784,1779490030.3748431,0.41936640970306516,,-10.079198787116855,psi,,hardware
WM-PT,pressure,1185.131519448,1779490030.3790827,0.37721399989295,,-15.348250013381248,psi,,hardware
CC-PT,pressure,1185.13707691,1779490030.384641,0.20610334945957057,,-36.73708131755368,psi,,hardware
N-LC,thrust,1185.128900889,1779490030.3764641,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.140772305,1779490030.388336,1.2517221274044665,,93.96526592555831,psi,,hardware
FM-PT,pressure,1185.144980824,1779490030.3925443,0.8022792103623402,,37.78490129529252,psi,,hardware
FI-PT,pressure,1185.148680349,1779490030.3962438,0.5273008975149271,,3.4126121893658934,psi,,hardware
E-LC,thrust,1185.14244674,1779490030.39001,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.152454645,1779490030.400018,0.4196602606368376,,-10.042467420395301,psi,,hardware
WM-PT,pressure,1185.156604187,1779490030.4041677,0.37764672966560475,,-15.294158791799406,psi,,hardware
N-LC,thrust,1185.154074509,1779490030.4016376,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1185.161426006,1779490030.4089894,0.20651044923191658,,-36.686193846010426,psi,,hardware
FT-PT,pressure,1185.164585817,1779490030.412149,1.2508703769290896,,93.8587971161362,psi,,hardware
FM-PT,pressure,1185.169624729,1779490030.4171882,0.802326298037326,,37.79078725466575,psi,,hardware
E-LC,thrust,1185.164174758,1779490030.4117384,0.078125,0.078125,0.0,N,,hardware
FI-PT,pressure,1185.173360417,1779490030.4209237,0.5277628335670035,,3.470354195875436,psi,,hardware
LF-PT,pressure,1185.177545142,1779490030.4251084,0.41984801529026217,,-10.018998088717229,psi,,hardware
WM-PT,pressure,1185.181288681,1779490030.428852,0.37804667687972504,,-15.24416539003437,psi,,hardware
CC-PT,pressure,1185.187043386,1779490030.4346075,0.20690980039951806,,-36.63627495006024,psi,,hardware
N-LC,thrust,1185.1759165,1779490030.4234798,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.189416761,1779490030.4369802,1.2499167024989966,,93.73958781237457,psi,,hardware
FM-PT,pressure,1185.194370959,1779490030.4419343,0.8024210694338165,,37.802633679227064,psi,,hardware
FI-PT,pressure,1185.198064169,1779490030.4456277,0.5280990038036113,,3.5123754754514125,psi,,hardware
E-LC,thrust,1185.190716505,1779490030.4382796,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.20179245,1779490030.4493558,0.41999881505952064,,-10.00014811755992,psi,,hardware
WM-PT,pressure,1185.2060283,1779490030.4535916,0.3783554289764677,,-15.20557137794154,psi,,hardware
CC-PT,pressure,1185.209680717,1779490030.457244,0.20743193714999403,,-36.571007856250745,psi,,hardware
N-LC,thrust,1185.203432406,1779490030.4509957,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.213340652,1779490030.460904,1.2489826976040241,,93.62283720050301,psi,,hardware
FM-PT,pressure,1185.21755867,1779490030.4651222,0.8023870947822445,,37.798386847780556,psi,,hardware
FI-PT,pressure,1185.221278304,1779490030.4688418,0.5283761654348571,,3.547020679357138,psi,,hardware
E-LC,thrust,1185.214960387,1779490030.4625237,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.224992938,1779490030.472556,0.42017464878256905,,-9.978168902178869,psi,,hardware
WM-PT,pressure,1185.229105317,1779490030.4766686,0.3786641810732104,,-15.166977365848696,psi,,hardware
CC-PT,pressure,1185.232779362,1779490030.4803429,0.20788314436473182,,-36.51460695440852,psi,,hardware
N-LC,thrust,1185.226541383,1779490030.4741046,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.23654177,1779490030.484105,1.248203068757423,,93.52538359467788,psi,,hardware
FM-PT,pressure,1185.240635576,1779490030.488199,0.8025825980404135,,37.82282475505169,psi,,hardware
FI-PT,pressure,1185.245666453,1779490030.4932306,0.5287326012531044,,3.5915751566380494,psi,,hardware
E-LC,thrust,1185.238145581,1779490030.4857087,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.249791775,1779490030.497355,0.42029981855151877,,-9.962522681060154,psi,,hardware
WM-PT,pressure,1185.254014311,1779490030.5015776,0.37887100921523686,,-15.141123848095392,psi,,hardware
CC-PT,pressure,1185.257689412,1779490030.5052526,0.2083188543699806,,-36.46014320375242,psi,,hardware
N-LC,thrust,1185.251421176,1779490030.4989843,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.261351939,1779490030.5089152,1.247187405489374,,93.39842568617173,psi,,hardware
FM-PT,pressure,1185.265581882,1779490030.513145,0.802646375017926,,37.83079687724075,psi,,hardware
FI-PT,pressure,1185.269683725,1779490030.517247,0.5290806924200884,,3.6350865525110465,psi,,hardware
E-LC,thrust,1185.262975155,1779490030.5105383,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.273435041,1779490030.5209982,0.42043810134388226,,-9.945237332014717,psi,,hardware
WM-PT,pressure,1185.277613303,1779490030.5251765,0.37919823875406256,,-15.10022015574218,psi,,hardware
N-LC,thrust,1185.275009021,1779490030.5225723,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1185.282462843,1779490030.5300262,0.2089262257726462,,-36.384221778419224,psi,,hardware
LF-PT,pressure,1185.28837533,1779490030.5359387,0.42051618343784614,,-9.935477070269233,psi,,hardware
FT-PT,pressure,1185.292928154,1779490030.5404918,1.2464185054801113,,93.30231318501392,psi,,hardware
E-LC,thrust,1185.287079235,1779490030.5346434,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1185.296624697,1779490030.5441883,0.8026576999017834,,37.83221248772292,psi,,hardware
FI-PT,pressure,1185.300725206,1779490030.5482886,0.5294198428892902,,3.6774803611612783,psi,,hardware
LF-PT,pressure,1185.304511446,1779490030.5520747,0.42062525995078803,,-9.921842506151496,psi,,hardware
N-LC,thrust,1185.299181058,1779490030.5467443,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1185.308018319,1779490030.5555818,0.37959103340995715,,-15.051120823755356,psi,,hardware
CC-PT,pressure,1185.312828788,1779490030.560392,0.20945015066267858,,-36.318731167165176,psi,,hardware
E-LC,thrust,1185.31027502,1779490030.5578384,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.316498278,1779490030.5640614,1.2456233794240212,,93.20292242800265,psi,,hardware
FM-PT,pressure,1185.320693242,1779490030.5682566,0.8028090957175607,,37.85113696469508,psi,,hardware
FI-PT,pressure,1185.325798186,1779490030.5733614,0.5298054849869591,,3.72568562336989,psi,,hardware
N-LC,thrust,1185.320320218,1779490030.5678835,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.329452326,1779490030.5770156,0.4208142066972502,,-9.898224162843722,psi,,hardware
WM-PT,pressure,1185.33363268,1779490030.581196,0.3798926329484741,,-15.013420881440739,psi,,hardware
CC-PT,pressure,1185.337360721,1779490030.5849242,0.20998182415745548,,-36.25227198031806,psi,,hardware
E-LC,thrust,1185.332030962,1779490030.5795941,0.078125,0.078125,0.0,N,,hardware
FT-PT,pressure,1185.341468804,1779490030.589032,1.244806199646735,,93.10077495584187,psi,,hardware
FM-PT,pressure,1185.345498208,1779490030.5930617,0.8027482989726422,,37.843537371580275,psi,,hardware
FI-PT,pressure,1185.347881583,1779490030.595445,0.5301976835963349,,3.7747104495418626,psi,,hardware
N-LC,thrust,1185.343008305,1779490030.5905714,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1185.353259171,1779490030.6008224,0.4210836197237515,,-9.86454753453106,psi,,hardware
