sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
FI-PT,pressure,1396.34274978,1779490241.5903144,0.8581514189423822,,44.76892736779778,psi,,hardware
XF-PT,pressure,1396.707995817,1779490241.95556,0.23388030932906978,,-66.52992266773255,psi,,hardware
OT-PT,pressure,1396.71328356,1779490241.9608471,0.20950796717500297,,-72.62300820624925,psi,,hardware
OF-PT,pressure,1396.716503066,1779490241.9640663,3.720660653193075,,805.1651632982687,psi,,hardware
OM-PT,pressure,1396.719684556,1779490241.9672482,2.2702339017670035,,442.5584754417509,psi,,hardware
OI-PT,pressure,1396.722857213,1779490241.9704208,1.5141536610309676,,253.5384152577419,psi,,hardware
XF-PT,pressure,1396.725960688,1779490241.9735243,0.23480179724714723,,-66.29955068821319,psi,,hardware
OT-PT,pressure,1396.729203952,1779490241.9767675,0.20963015671135865,,-72.59246082216033,psi,,hardware
OF-PT,pressure,1396.73230078,1779490241.9798644,3.715073313125767,,803.7683282814418,psi,,hardware
OM-PT,pressure,1396.73552112,1779490241.9830844,2.2706004703760705,,442.6501175940176,psi,,hardware
OI-PT,pressure,1396.738727089,1779490241.9862905,1.51447254591853,,253.61813647963248,psi,,hardware
XF-PT,pressure,1396.741818473,1779490241.989382,0.2356279177222154,,-66.09302056944615,psi,,hardware
OT-PT,pressure,1396.744997592,1779490241.992561,0.2100056660182078,,-72.49858349544805,psi,,hardware
OF-PT,pressure,1396.748134659,1779490241.9956982,3.7095288884078133,,802.3822221019533,psi,,hardware
OM-PT,pressure,1396.751314704,1779490241.998878,2.270962270612987,,442.7405676532468,psi,,hardware
OI-PT,pressure,1396.754485472,1779490242.0020487,1.514802159643431,,253.7005399108577,psi,,hardware
XF-PT,pressure,1396.757696534,1779490242.00526,0.23653331238428502,,-65.86667190392875,psi,,hardware
OT-PT,pressure,1396.760859544,1779490242.0084226,0.21030249718457428,,-72.42437570385643,psi,,hardware
OF-PT,pressure,1396.764122955,1779490242.0116863,3.7039445285730994,,800.9861321432749,psi,,hardware
OM-PT,pressure,1396.767193211,1779490242.0147567,2.2713485087571748,,442.8371271892937,psi,,hardware
OI-PT,pressure,1396.770394533,1779490242.017958,1.51522773685786,,253.80693421446497,psi,,hardware
XF-PT,pressure,1396.773552228,1779490242.0211155,0.23744466751154272,,-65.63883312211432,psi,,hardware
OT-PT,pressure,1396.776764012,1779490242.0243275,0.21053316718735304,,-72.36670820316174,psi,,hardware
OF-PT,pressure,1396.779919652,1779490242.0274832,3.6985091803680876,,799.6272950920219,psi,,hardware
OM-PT,pressure,1396.783172342,1779490242.0307357,2.271649512249173,,442.9123780622932,psi,,hardware
OI-PT,pressure,1396.786282632,1779490242.033846,1.5156390089558376,,253.90975223895938,psi,,hardware
XF-PT,pressure,1396.792444068,1779490242.0400083,0.23842099170935055,,-65.39475207266236,psi,,hardware
OT-PT,pressure,1396.795835861,1779490242.0433993,0.21083238253979475,,-72.29190436505131,psi,,hardware
OF-PT,pressure,1396.799005129,1779490242.0465684,3.6931119791402796,,798.2779947850698,psi,,hardware
OM-PT,pressure,1396.802274429,1779490242.049838,2.2719958152766004,,442.99895381915013,psi,,hardware
OI-PT,pressure,1396.805581394,1779490242.053145,1.5159286875639784,,253.98217189099458,psi,,hardware
XF-PT,pressure,1396.808136567,1779490242.0557003,0.23934724799957846,,-65.16318800010538,psi,,hardware
OT-PT,pressure,1396.811405385,1779490242.0589688,0.2110541118447914,,-72.23647203880215,psi,,hardware
OF-PT,pressure,1396.81465626,1779490242.0622199,3.6875985488413034,,796.8996372103259,psi,,hardware
OM-PT,pressure,1396.817704424,1779490242.0652678,2.2723653641182615,,443.0913410295654,psi,,hardware
OI-PT,pressure,1396.820915172,1779490242.0684788,1.5163077731499404,,254.07694328748508,psi,,hardware
XF-PT,pressure,1396.823965836,1779490242.0715292,0.2402454901034224,,-64.9386274741444,psi,,hardware
OT-PT,pressure,1396.827190008,1779490242.0747533,0.21125795975422382,,-72.18551006144405,psi,,hardware
OF-PT,pressure,1396.830260134,1779490242.0778236,3.6821423390081334,,795.5355847520333,psi,,hardware
OM-PT,pressure,1396.833711868,1779490242.0812757,2.27262106807483,,443.15526701870755,psi,,hardware
OI-PT,pressure,1396.836984538,1779490242.0845478,1.5165318866410122,,254.13297166025305,psi,,hardware
XF-PT,pressure,1396.839604597,1779490242.087168,0.24109187616013006,,-64.72703095996748,psi,,hardware
OT-PT,pressure,1396.842801401,1779490242.0903647,0.21152379650161227,,-72.11905087459694,psi,,hardware
OF-PT,pressure,1396.845897044,1779490242.0934603,3.677015742899864,,794.253935724966,psi,,hardware
OM-PT,pressure,1396.85045292,1779490242.098017,2.272935184590242,,443.23379614756055,psi,,hardware
OI-PT,pressure,1396.853649039,1779490242.1012125,1.5167357345504446,,254.18393363761115,psi,,hardware
XF-PT,pressure,1396.856141252,1779490242.1037047,0.24207475686964475,,-64.4813107825888,psi,,hardware
OT-PT,pressure,1396.859283041,1779490242.1068466,0.2118182434819035,,-72.04543912952413,psi,,hardware
OF-PT,pressure,1396.862346945,1779490242.1099105,3.671544035857205,,792.8860089643013,psi,,hardware
OM-PT,pressure,1396.864897396,1779490242.112461,2.2732296315705334,,443.30740789263336,psi,,hardware
OI-PT,pressure,1396.868024796,1779490242.1155884,1.517095150601286,,254.27378765032148,psi,,hardware
XF-PT,pressure,1396.871575469,1779490242.1191387,0.24283531222764398,,-64.291171943089,psi,,hardware
OT-PT,pressure,1396.874592431,1779490242.1221557,0.21206441069417128,,-71.98389732645718,psi,,hardware
OF-PT,pressure,1396.877729665,1779490242.1252933,3.6662350495141807,,791.5587623785451,psi,,hardware
OM-PT,pressure,1396.880789087,1779490242.1283524,2.2736510364593308,,443.4127591148327,psi,,hardware
OI-PT,pressure,1396.883895896,1779490242.131459,1.5173586031625992,,254.33965079064978,psi,,hardware
XF-PT,pressure,1396.886954134,1779490242.1345174,0.24406853247505814,,-63.98286688123547,psi,,hardware
OT-PT,pressure,1396.892406979,1779490242.139971,0.2124011769772979,,-71.89970575567553,psi,,hardware
OF-PT,pressure,1396.895575951,1779490242.1431394,3.660845596891117,,790.2113992227793,psi,,hardware
OM-PT,pressure,1396.898098348,1779490242.145662,2.2738882629738164,,443.4720657434541,psi,,hardware
OI-PT,pressure,1396.901250932,1779490242.1488144,1.517632784561251,,254.40819614031273,psi,,hardware
XF-PT,pressure,1396.903730147,1779490242.1512935,0.24494233667163093,,-63.764415832092276,psi,,hardware
OT-PT,pressure,1396.906864361,1779490242.1544278,0.21259548814242937,,-71.85112796439266,psi,,hardware
OF-PT,pressure,1396.909936876,1779490242.1575003,3.6554966754313325,,788.8741688578331,psi,,hardware
OM-PT,pressure,1396.913050407,1779490242.1606135,2.2740396587895937,,443.5099146973984,psi,,hardware
OI-PT,pressure,1396.915551027,1779490242.1631143,1.5179319999136927,,254.48299997842315,psi,,hardware
