sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,1093.182047511,1779489938.4296112,5.0,,1125.0,psi,,hardware
LF-PT,pressure,1093.181551822,1779489938.4291165,0.6727815476395544,,21.597693454944306,psi,,hardware
OT-PT,pressure,1093.187575949,1779489938.43514,0.0006097555887407766,,-124.84756110281481,psi,,hardware
FT-PT,pressure,1093.18844371,1779489938.4360073,1.2641872482523022,,95.52340603153777,psi,,hardware
OF-PT,pressure,1093.190091314,1779489938.4376547,1.1920930376163766e-06,,-124.9997019767406,psi,,hardware
N-LC,thrust,1093.18297758,1779489938.4305415,-1.2014062644727546e-06,0.078125,4635.487950105025,N,,hardware
E-LC,thrust,1093.19613455,1779489938.4436982,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.206197364,1779489938.453761,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.214528859,1779489938.462092,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.224563212,1779489938.4721265,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.232878395,1779489938.4804416,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.242918248,1779489938.4904816,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.251392506,1779489938.498956,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.261293929,1779489938.508857,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.269694176,1779489938.5172575,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.2797359,1779489938.5272994,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.288549659,1779489938.5361137,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.298576606,1779489938.5461402,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.30847727,1779489938.5560415,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1093.318495051,1779489938.5660586,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1093.326930128,1779489938.5744932,0.078125,0.078125,0.0,N,,hardware
