sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,1408.7350083,1779490253.9825723,0.2819061615355207,,-54.523459616119816,psi,,hardware
LF-PT,pressure,1408.734398149,1779490253.9819622,4.50935417525222,,501.1692719065275,psi,,hardware
FT-PT,pressure,1408.740911237,1779490253.9884746,1.2000371456190522,,87.50464320238152,psi,,hardware
FM-PT,pressure,1408.74519704,1779490253.9927607,0.7546324437418512,,31.829055467731404,psi,,hardware
N-LC,thrust,1408.736737743,1779490253.984302,0.078125,0.078125,0.0,N,,hardware
FI-PT,pressure,1408.749008239,1779490253.9965715,0.5029464367564245,,0.3683045945530594,psi,,hardware
WM-PT,pressure,1408.75319801,1779490254.0007613,0.370775505396784,,-16.153061825402,psi,,hardware
CC-PT,pressure,1408.757006136,1779490254.0045693,0.17574670025666955,,-40.531662467916306,psi,,hardware
E-LC,thrust,1408.750650872,1779490253.9982142,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1408.760886295,1779490254.00845,0.17890217052724008,,-40.137228684094985,psi,,hardware
FT-PT,pressure,1408.765096121,1779490254.0126598,1.1992092370044276,,87.40115462555345,psi,,hardware
FM-PT,pressure,1408.768976798,1779490254.01654,0.754673570951649,,31.834196368956125,psi,,hardware
N-LC,thrust,1408.762493318,1779490254.0100567,0.078125,0.078125,0.0,N,,hardware
FI-PT,pressure,1408.772877307,1779490254.0204406,0.5032575730392423,,0.40719662990529315,psi,,hardware
WM-PT,pressure,1408.777085059,1779490254.0246484,0.3711694921457162,,-16.103813481785473,psi,,hardware
CC-PT,pressure,1408.780842391,1779490254.0284057,0.17620684816918947,,-40.474143978851316,psi,,hardware
E-LC,thrust,1408.774490997,1779490254.0220544,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1408.784560411,1779490254.0321238,0.17947437518529596,,-40.065703101838004,psi,,hardware
FT-PT,pressure,1408.792049225,1779490254.0396135,1.1982358930392139,,87.27948662990173,psi,,hardware
N-LC,thrust,1408.78617036,1779490254.0337336,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1408.797196333,1779490254.04476,0.7548863595588635,,31.86079494485794,psi,,hardware
FI-PT,pressure,1408.801488728,1779490254.0490522,0.5036277179274222,,0.4534647409277781,psi,,hardware
WM-PT,pressure,1408.805368868,1779490254.0529325,0.3714681114516391,,-16.06648606854511,psi,,hardware
E-LC,thrust,1408.799845373,1779490254.047409,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1408.809156143,1779490254.0567195,0.17674269398959802,,-40.40716325130025,psi,,hardware
LF-PT,pressure,1408.813404375,1779490254.0609677,0.17984571216651346,,-40.01928597918582,psi,,hardware
FT-PT,pressure,1408.817996069,1779490254.0655599,1.1974407669831237,,87.18009587289046,psi,,hardware
N-LC,thrust,1408.811767094,1779490254.0593305,0.078125,0.078125,0.0,N,,hardware
