sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
FI-PT,pressure,1096.716718495,1779489941.9642823,0.12978793737744537,,-46.27650782781933,psi,,hardware
XF-PT,pressure,1096.994248052,1779489942.2418115,-0.6946516865076645,,-298.6629216269161,psi,,hardware
OT-PT,pressure,1097.000225208,1779489942.247789,0.25064232953099363,,-62.33941761725159,psi,,hardware
N-LC,thrust,1096.995486293,1779489942.2430506,-0.00032492917179217,0.03755235560862489,2247.385563638079,N,,hardware
OF-PT,pressure,1097.003979874,1779489942.251543,4.202724004116536,,925.6810010291341,psi,,hardware
E-LC,thrust,1097.005323549,1779489942.252887,0.06566756256432088,0.078125,739.1412878502945,N,,hardware
N-LC,thrust,1097.015379115,1779489942.2629428,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.023788704,1779489942.271352,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.033828161,1779489942.2813914,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.042239824,1779489942.2898033,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.052280743,1779489942.2998443,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.060765954,1779489942.3083296,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.070687275,1779489942.3182507,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.079020224,1779489942.3265836,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.089209443,1779489942.3367736,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.099233716,1779489942.3467972,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.10778155,1779489942.3553445,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.117746403,1779489942.3653097,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.126132624,1779489942.3736959,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.136078406,1779489942.383642,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,1097.146185781,1779489942.39375,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,1097.156202703,1779489942.403766,0.078125,0.078125,0.0,N,,hardware
