sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
LF-PT,pressure,1379.743609368,1779490224.9911737,0.00030398372459217605,,-62.46200203442598,psi,,hardware
XF-PT,pressure,1379.744795727,1779490224.9923596,-0.6631285742674559,,-290.78214356686397,psi,,hardware
OT-PT,pressure,1379.749883158,1779490224.9974463,-0.02019942047589069,,-130.0498551189727,psi,,hardware
FT-PT,pressure,1379.749465664,1779490224.9970295,1.062032110933317,,70.25401386666464,psi,,hardware
FM-PT,pressure,1379.753985054,1779490225.0015483,0.1668125589862536,,-41.6484301267183,psi,,hardware
N-LC,thrust,1379.745789577,1779490224.9933546,4.749745696752751e-06,0.078125,4635.1348484219925,N,,hardware
FI-PT,pressure,1379.757853203,1779490225.0054164,0.5001086592803787,,0.013582410047341398,psi,,hardware
WM-PT,pressure,1379.763294856,1779490225.0108583,0.34400646019058945,,-19.49919247617632,psi,,hardware
E-LC,thrust,1379.759831072,1779490225.0073948,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1379.767070215,1779490225.0146337,0.16754271597179365,,-41.55716050352579,psi,,hardware
LF-PT,pressure,1379.770374211,1779490225.0179377,0.16715945806019997,,-41.60506774247501,psi,,hardware
FT-PT,pressure,1379.774232899,1779490225.021796,1.2488944827192405,,93.61181033990506,psi,,hardware
FM-PT,pressure,1379.778090457,1779490225.0256538,0.788119529261533,,36.01494115769162,psi,,hardware
N-LC,thrust,1379.769945421,1779490225.0175087,0.078125,0.078125,0.0,N,,hardware
FI-PT,pressure,1379.781848002,1779490225.0294113,0.5005723834720115,,0.07154793400143689,psi,,hardware
WM-PT,pressure,1379.786027282,1779490225.0335906,0.344582837174277,,-19.427145353215373,psi,,hardware
CC-PT,pressure,1379.792795951,1779490225.0403605,0.1682448587709497,,-41.46939265363129,psi,,hardware
E-LC,thrust,1379.78343493,1779490225.0309982,0.078125,0.078125,0.0,N,,hardware
LF-PT,pressure,1379.796633436,1779490225.044197,0.1674801310873188,,-41.56498361408515,psi,,hardware
FT-PT,pressure,1379.800937376,1779490225.0485008,1.2479354438704782,,93.49193048380977,psi,,hardware
N-LC,thrust,1379.798317396,1779490225.0458808,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.804631813,1779490225.0521953,0.788458083684216,,36.057260460527,psi,,hardware
FI-PT,pressure,1379.809868293,1779490225.0574315,0.5009705425465754,,0.1213178183219199,psi,,hardware
LF-PT,pressure,1379.814308039,1779490225.0618713,0.16796590900014746,,-41.50426137498157,psi,,hardware
E-LC,thrust,1379.808528499,1779490225.0560923,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1379.818190299,1779490225.0657542,0.34489993392228296,,-19.38750825971463,psi,,hardware
CC-PT,pressure,1379.822626121,1779490225.0701895,0.16868176086923609,,-41.41477989134549,psi,,hardware
FT-PT,pressure,1379.826748367,1779490225.0743117,1.2469966706033553,,93.3745838254194,psi,,hardware
N-LC,thrust,1379.820495038,1779490225.068058,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.832385657,1779490225.0799503,0.7885051713592018,,36.06314641990023,psi,,hardware
FI-PT,pressure,1379.836720706,1779490225.084284,0.5013168455740029,,0.16460569675036396,psi,,hardware
LF-PT,pressure,1379.840465048,1779490225.0880284,0.1684278450522238,,-41.446519368472025,psi,,hardware
WM-PT,pressure,1379.84412932,1779490225.0916927,0.3449684792719459,,-19.37894009100676,psi,,hardware
E-LC,thrust,1379.835052597,1779490225.0826159,0.078125,0.078125,0.0,N,,hardware
CC-PT,pressure,1379.846702118,1779490225.0942657,0.16930641762094706,,-41.33669779738162,psi,,hardware
FT-PT,pressure,1379.852594115,1779490225.1001575,1.2461031968716618,,93.26289960895772,psi,,hardware
N-LC,thrust,1379.848039412,1779490225.095603,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.856296423,1779490225.1038597,0.788588617871835,,36.07357723397937,psi,,hardware
FI-PT,pressure,1379.859987749,1779490225.1075513,0.5016923548808521,,0.21154436010650812,psi,,hardware
LF-PT,pressure,1379.863745442,1779490225.1113088,0.16877176389357612,,-41.403529513302985,psi,,hardware
E-LC,thrust,1379.858121078,1779490225.1056845,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1379.867453064,1779490225.1150165,0.3452670985778688,,-19.3416126777664,psi,,hardware
CC-PT,pressure,1379.871637307,1779490225.1192005,0.16992988227962047,,-41.25876471504744,psi,,hardware
FT-PT,pressure,1379.875745054,1779490225.1233082,1.245098262440951,,93.13728280511887,psi,,hardware
N-LC,thrust,1379.870040491,1779490225.1176038,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.879458269,1779490225.1270216,0.7887167678733787,,36.08959598417234,psi,,hardware
FI-PT,pressure,1379.88363129,1779490225.1311946,0.5021018388392733,,0.26272985490916057,psi,,hardware
LF-PT,pressure,1379.887322394,1779490225.1348858,0.1694399320411601,,-41.32000849485499,psi,,hardware
E-LC,thrust,1379.881049011,1779490225.1286123,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1379.893209984,1779490225.1407738,0.34551684206924943,,-19.31039474134382,psi,,hardware
CC-PT,pressure,1379.89800473,1779490225.1455684,0.17049195414685658,,-41.18850573164293,psi,,hardware
FT-PT,pressure,1379.902394461,1779490225.1499584,1.2440873675450523,,93.01092094313154,psi,,hardware
N-LC,thrust,1379.894991772,1779490225.1425552,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.906188448,1779490225.1537519,0.7887739883391843,,36.09674854239804,psi,,hardware
FI-PT,pressure,1379.91055107,1779490225.1581147,0.5024934414021303,,0.31168017526628233,psi,,hardware
LF-PT,pressure,1379.914352742,1779490225.1619163,0.16981007692934003,,-41.2737403838325,psi,,hardware
E-LC,thrust,1379.907846613,1779490225.1554098,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1379.918133656,1779490225.165697,0.3457421476533589,,-19.282231543330134,psi,,hardware
CC-PT,pressure,1379.922375969,1779490225.1699398,0.17094196926855676,,-41.132253841430405,psi,,hardware
FT-PT,pressure,1379.926065518,1779490225.1736286,1.2431599191617868,,92.89498989522335,psi,,hardware
N-LC,thrust,1379.91977971,1779490225.1673431,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.929853265,1779490225.1774168,0.788849686247073,,36.10621078088412,psi,,hardware
FI-PT,pressure,1379.934154668,1779490225.1817183,0.5028212669874748,,0.3526583734343447,psi,,hardware
LF-PT,pressure,1379.937958581,1779490225.1855218,0.17039718275036608,,-41.20035215620424,psi,,hardware
E-LC,thrust,1379.931495079,1779490225.1790583,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,1379.94390039,1779490225.1914647,0.346009176493785,,-19.248852938276876,psi,,hardware
CC-PT,pressure,1379.948186405,1779490225.1957495,0.17139556066936978,,-41.07555491632878,psi,,hardware
FT-PT,pressure,1379.951985188,1779490225.1995487,1.2421210100795042,,92.76512625993801,psi,,hardware
N-LC,thrust,1379.945594053,1779490225.1931577,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,1379.955721642,1779490225.203285,0.7889724718299475,,36.12155897874343,psi,,hardware
FI-PT,pressure,1379.959887071,1779490225.2074504,0.5032659176905057,,0.40823971131320747,psi,,hardware
LF-PT,pressure,1379.963692206,1779490225.2112556,0.17087461601193144,,-41.14067299850857,psi,,hardware
E-LC,thrust,1379.957342013,1779490225.2049055,0.078125,0.078125,0.0,N,,hardware
