sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
XF-PT,pressure,440.45879959,1779489285.7063637,0.0,,-125.0,psi,,hardware
LF-PT,pressure,440.4580749,1779489285.7056394,5.841255884320245e-05,,-62.4926984301446,psi,,hardware
FT-PT,pressure,440.465457315,1779489285.713021,2.9576543519084875,,307.20679398856095,psi,,hardware
FM-PT,pressure,440.469708068,1779489285.7172718,1.7718203987861156,,158.97754984826446,psi,,hardware
FI-PT,pressure,440.474059745,1779489285.7216232,1.0588539908950318,,69.85674886187898,psi,,hardware
WM-PT,pressure,440.477774544,1779489285.7253382,0.7239163784881089,,27.989547311013606,psi,,hardware
WI-RTD,temperature,440.459440263,1779489285.7070038,,,-1759.1646378053888,°C,,hardware
CC-PT,pressure,440.480138148,1779489285.7277017,0.17139377252981336,,-41.07577843377333,psi,,hardware
LF-PT,pressure,440.48504124,1779489285.7326047,0.16609491897760856,,-41.738135127798934,psi,,hardware
FT-PT,pressure,440.488750318,1779489285.7363138,2.952031249050051,,306.5039061312564,psi,,hardware
E-LC,thrust,440.482960335,1779489285.730524,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,440.492512487,1779489285.740076,1.7714049543625063,,158.92561929531328,psi,,hardware
FI-PT,pressure,440.49568339,1779489285.7432468,1.0592038702015723,,69.90048377519653,psi,,hardware
WM-PT,pressure,440.498819775,1779489285.7463832,0.724161353607339,,28.020169200917376,psi,,hardware
CC-PT,pressure,440.501900939,1779489285.749464,0.17214181091091765,,-40.9822736361353,psi,,hardware
LF-PT,pressure,440.505031342,1779489285.7525945,0.1664036710743512,,-41.699541115706104,psi,,hardware
FT-PT,pressure,440.508862844,1779489285.7564263,2.946688288055454,,305.83603600693175,psi,,hardware
FM-PT,pressure,440.512595032,1779489285.7601583,1.7710628236607104,,158.8828529575888,psi,,hardware
E-LC,thrust,440.50516247,1779489285.752726,0.078125,0.078125,0.0,N,,hardware
FI-PT,pressure,440.516423423,1779489285.7639868,1.0594959329957883,,69.93699162447354,psi,,hardware
WM-PT,pressure,440.519573474,1779489285.767137,0.7245577245423465,,28.069715567793306,psi,,hardware
LF-PT,pressure,440.5226996,1779489285.770263,0.1669585903833616,,-41.6301762020798,psi,,hardware
FT-PT,pressure,440.525788301,1779489285.7733517,2.94168924590221,,305.21115573777627,psi,,hardware
CC-PT,pressure,440.52888789,1779489285.776451,0.17432870558842486,,-40.708911801446895,psi,,hardware
FM-PT,pressure,440.532617782,1779489285.7801812,1.7688312254942926,,158.60390318678657,psi,,hardware
FI-PT,pressure,440.534976941,1779489285.7825403,1.059782631371335,,69.97282892141688,psi,,hardware
LF-PT,pressure,440.539147399,1779489285.786711,0.16769709202016497,,-41.53786349747938,psi,,hardware
FT-PT,pressure,440.542117861,1779489285.7896812,2.9366502686322056,,304.5812835790257,psi,,hardware
E-LC,thrust,440.529045109,1779489285.7766082,0.078125,0.078125,0.0,N,,hardware
WM-PT,pressure,440.546429742,1779489285.7939932,0.7259196908378232,,28.239961354727892,psi,,hardware
FM-PT,pressure,440.549582109,1779489285.7971456,1.7673953494304833,,158.4244186788104,psi,,hardware
FI-PT,pressure,440.553564015,1779489285.801128,1.0600979399797845,,70.01224249747307,psi,,hardware
CC-PT,pressure,440.556685122,1779489285.8042486,0.175254365832134,,-40.59320427098325,psi,,hardware
LF-PT,pressure,440.560147705,1779489285.8077111,0.16805412388493107,,-41.493234514383616,psi,,hardware
FT-PT,pressure,440.564415568,1779489285.811979,2.9311630643800575,,303.8953830475072,psi,,hardware
WM-PT,pressure,440.569582322,1779489285.817146,0.7272661599238108,,28.408269990476352,psi,,hardware
E-LC,thrust,440.558107077,1779489285.8056703,0.078125,0.078125,0.0,N,,hardware
FM-PT,pressure,440.572093126,1779489285.8196564,1.765699597084474,,158.21244963555924,psi,,hardware
FI-PT,pressure,440.575257918,1779489285.8228214,1.0603911948670381,,70.04889935837977,psi,,hardware
CC-PT,pressure,440.578336952,1779489285.8259003,0.17616035654072243,,-40.479955432409696,psi,,hardware
LF-PT,pressure,440.580846664,1779489285.82841,0.16827168086429606,,-41.46603989196299,psi,,hardware
FT-PT,pressure,440.583320969,1779489285.8308845,2.926077595481586,,303.2596994351983,psi,,hardware
FM-PT,pressure,440.588473056,1779489285.8360364,1.7654212433601906,,158.17765542002383,psi,,hardware
FI-PT,pressure,440.592231337,1779489285.8397946,1.06075537929003,,70.09442241125375,psi,,hardware
WI-RTD,temperature,440.583012289,1779489285.8305757,,,-1120.7079965284706,°C,,hardware
WM-PT,pressure,440.595875157,1779489285.8434386,0.7276845845800144,,28.4605730725018,psi,,hardware
LF-PT,pressure,440.60030011,1779489285.8478632,0.16900779831502416,,-41.37402521062198,psi,,hardware
FT-PT,pressure,440.604485401,1779489285.8520489,2.9209331179777527,,302.6166397472191,psi,,hardware
CC-PT,pressure,440.608180405,1779489285.8557436,0.17823698261225016,,-40.22037717346873,psi,,hardware
FM-PT,pressure,440.611136737,1779489285.8587,1.7634858803136204,,157.93573503920254,psi,,hardware
E-LC,thrust,440.599743842,1779489285.8473072,0.06626223072555432,0.04332073549279398,1361.1953838104466,N,,hardware
FI-PT,pressure,440.615461618,1779489285.863025,1.0610295606886817,,70.12869508608522,psi,,hardware
WM-PT,pressure,440.619476246,1779489285.8670397,0.7279373083039891,,28.492163537998632,psi,,hardware
LF-PT,pressure,440.621949032,1779489285.869512,0.16955437297277126,,-41.30570337840359,psi,,hardware
FT-PT,pressure,440.625007067,1779489285.8725703,2.915661682565413,,301.95771032067665,psi,,hardware
CC-PT,pressure,440.628759885,1779489285.8763232,0.18045606380177304,,-39.94299202477837,psi,,hardware
FM-PT,pressure,440.63267407,1779489285.8802373,1.761492104708207,,157.68651308852588,psi,,hardware
E-LC,thrust,440.627202248,1779489285.8747654,0.06749400742280572,0.04252458498174966,1481.5190648359928,N,,hardware
FI-PT,pressure,440.636454535,1779489285.884018,1.0613925530186359,,70.17406912732949,psi,,hardware
WM-PT,pressure,440.639589476,1779489285.8871527,0.7281381759808274,,28.517271997603427,psi,,hardware
LF-PT,pressure,440.642711916,1779489285.890275,0.17005803228116423,,-41.24274596485447,psi,,hardware
FT-PT,pressure,440.645778469,1779489285.8933418,2.9103836906413667,,301.29796133017084,psi,,hardware
CC-PT,pressure,440.648863763,1779489285.896427,0.18250765591951085,,-39.68654301006114,psi,,hardware
FM-PT,pressure,440.652697375,1779489285.9002607,1.7594208430553486,,157.42760538191857,psi,,hardware
FI-PT,pressure,440.655678356,1779489285.9032416,1.0618002488375007,,70.22503110468759,psi,,hardware
WM-PT,pressure,440.660048773,1779489285.9076118,0.7285977278468285,,28.574715980853565,psi,,hardware
LF-PT,pressure,440.663834368,1779489285.9113977,0.17063679345092697,,-41.17040081863413,psi,,hardware
E-LC,thrust,440.649071518,1779489285.8966346,0.06694516033770566,0.04393159935553066,1365.4712849423831,N,,hardware
FT-PT,pressure,440.668340264,1779489285.915904,2.9048499947607507,,300.60624934509383,psi,,hardware
CC-PT,pressure,440.672376206,1779489285.91994,0.18452229315308252,,-39.43471335586468,psi,,hardware
FM-PT,pressure,440.675573034,1779489285.9231365,1.7573603102398287,,157.1700387799786,psi,,hardware
FI-PT,pressure,440.678689827,1779489285.9262533,1.0623176172158262,,70.28970215197828,psi,,hardware
