sensor_name,sensor_kind,t_monotonic,t_wall,Voltage 1,Voltage 2,value,units,filtered_value,source
LF-PT,pressure,868.002264359,1779489713.2498286,0.24902346718591062,,-31.372066601761173,psi,,hardware
XF-PT,pressure,868.003185229,1779489713.2507493,0.2514332832614521,,-62.14167918463698,psi,,hardware
OT-PT,pressure,868.008145626,1779489713.255709,-2.9802325940409415e-06,,-125.00074505814851,psi,,hardware
N-LC,thrust,868.004399889,1779489713.251964,0.078125,-9.313226856377942e-09,4635.41721925146,N,,hardware
OF-PT,pressure,868.012116211,1779489713.2596798,5.0,,1125.0,psi,,hardware
OM-PT,pressure,868.016537971,1779489713.2641013,2.270069988974331,,442.5174972435828,psi,,hardware
E-LC,thrust,868.015687933,1779489713.2632515,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.025749632,1779489713.2733128,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.035123919,1779489713.282688,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.04513886,1779489713.2927027,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.052997364,1779489713.3005607,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.062864215,1779489713.3104274,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.071281152,1779489713.3188443,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.080677198,1779489713.3282404,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.089639939,1779489713.3372035,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.098959209,1779489713.3465226,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.107478958,1779489713.355042,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.117389531,1779489713.3649528,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.127333603,1779489713.3748975,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.137352562,1779489713.3849165,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.147168396,1779489713.394732,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.154873199,1779489713.4024365,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.164917176,1779489713.4124806,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.17328504,1779489713.4208484,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.182742696,1779489713.430306,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.191679918,1779489713.4392436,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.200138928,1779489713.4477022,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.210177887,1779489713.457741,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.218573676,1779489713.466137,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.228613931,1779489713.4761772,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.238078606,1779489713.4856424,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.248105083,1779489713.4956684,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.256157879,1779489713.5037215,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.265865956,1779489713.5134294,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.274706125,1779489713.5222695,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.284306574,1779489713.53187,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.29315928,1779489713.5407226,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.302198185,1779489713.5497615,0.078125,0.078125,0.0,N,,hardware
E-LC,thrust,868.311716303,1779489713.5592802,0.078125,0.078125,0.0,N,,hardware
N-LC,thrust,868.321717522,1779489713.569281,0.078125,0.078125,0.0,N,,hardware
