Designator,Mid X,Mid Y,Rotation,Layer
R56,24.752199,59.755559,180.0,top
R57,82.752199,46.655559,180.0,top
R58,27.552199,60.355559,270.0,top
R59,24.752199,62.755559,180.0,top
R6,27.266987,15.299999,0.0,top
R60,24.752199,56.955559,180.0,top
R61,25.752199,51.355559,180.0,top
R63,79.852199,103.655559,270.0,top
R64,17.352199,102.655559,270.0,top
R7,54.416987,18.555559,180.0,top
R8,54.416987,20.255559,180.0,top
R9,54.452199,27.955559,180.0,top
RP1,35.105686,53.15,270.0,bottom
U1,41.590687,23.85,0.0,top
U10,4.283198,68.55556,0.0,top
U2,40.152199,53.505559,0.0,top
U3,40.652199,82.221244,0.0,top
U4,53.314699,109.80556,0.0,top
U5,70.877199,115.555559,90.0,top
U6,58.677199,118.530559,0.0,top
U7,16.177199,115.125559,0.0,top
U8,40.077199,115.205559,0.0,top
U9,28.527199,115.125559,0.0,top
